,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
0,BMW,X3,2016,"$23,985 ",Grey,//M SPORT | NAVI | PANO | XENON,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"141,102",https://www.carproof.com/order?ref=kijiji&vin=5UXWX9C54G0D94213,"2430 Finch Ave West,, North York, ON, M9M 2E1"
1,Mercedes-Benz,C-Class,2018,"$36,990 ",Black,C300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"55,595",na,"55 Auction Ln, Brampton, ON, L6T 5V8"
2,Hyundai,Elantra,2019,"$21,999 ",Black,"PREFERRED, REARVIEW CAM, HEATED SEATS,LDW, BLINDSP",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"55,338",https://www.carproof.com/order?ref=kijiji&vin=KMHD84LF3KU750176,"3675 Keele Street, Toronto, ON, M3J 1M6"
3,Mercedes-Benz,C-Class,2018,"$58,800 ",Black,"AMG C43 4MATIC, 362HP, AWD, NIGHT PKG, NAV, PANO,",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"47,093",https://www.carproof.com/order?ref=kijiji&vin=WDDWJ6EB6JF700856,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
4,Dodge,Grand Caravan,2020,"$44,897 ",White,GT|7PASSENGER|NAV|DVDSCREEN|LEATHER|STOW&GO|SIRIUS,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Other,"62,716",https://www.carproof.com/order?ref=kijiji&vin=2C4RDGEGXLR205653,"100 Toro Road, North York, ON, M3J 2A9"
5,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
6,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
7,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
8,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
9,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
10,Jeep,Patriot,2011,"$6,750 ",Grey,North Edition,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=1J4NF2GBXBD202633,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
11,Infiniti,QX60,2017,"$25,950 ",Blue,QX 60,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"127,000",https://www.carproof.com/order?ref=kijiji&vin=5N1DL0MMXHC549233,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
12,Mazda,Tribute,2010,"$3,950 ",Silver,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"245,000",https://www.carproof.com/order?ref=kijiji&vin=4F2CY0C71AKM08494,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
13,Mercedes-Benz,C-Class,2014,"$13,950 ",White,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"149,000",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB3EG244273,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
