brand,color,condition,body_type,wheel_config,transmission,mileage,carfax_link,dealer_address,cylinders,vehicle_age,list_price
american,Black,Used,Pickup Truck,4 x 4,Automatic,115000,Available,Toronto,8,3,30999.99
german,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,129000,None,Toronto,4,7,11450.0
american,other,Used,Other,All-wheel drive (AWD),Automatic,73893,Available,Toronto,6,3,33988.0
japanese,other,Used,Sedan,Unknown,Automatic,200500,None,Toronto,6,18,500.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,93000,Available,Toronto,4,5,15499.0
american,Silver,Used,"SUV, Crossover",Unknown,Automatic,147000,None,other_GTA,6,14,1100.0
american,Black,Used,Sedan,All-wheel drive (AWD),Automatic,176000,None,Toronto,6,9,3400.0
american,Blue,Used,Sedan,Front-wheel drive (FWD),Automatic,41432,Available,other_GTA,4,3,19999.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,21196,Available,Toronto,4,3,11971.0
japanese,other,Used,Sedan,Unknown,Automatic,226,None,Toronto,4,14,2600.0
american,White,Used,"SUV, Crossover",Unknown,Automatic,74899,Available,Toronto,4,5,15988.0
american,other,Used,Sedan,Front-wheel drive (FWD),Automatic,200000,Available,other,8,19,1000.0
american,Silver,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,11618,Available,Toronto,4,2,43578.0
japanese,other,Used,Sedan,Front-wheel drive (FWD),Automatic,156988,Available,Toronto,4,8,11500.0
german,Red,Used,Sedan,All-wheel drive (AWD),Automatic,103558,Available,Toronto,4,6,21500.0
american,Blue,Used,Sedan,All-wheel drive (AWD),Electric,27981,Available,other_GTA,0,5,93995.0
japanese,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,131000,Available,Toronto,4,6,15950.0
japanese,White,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,30345,Available,other,4,4,21877.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,123000,Available,Toronto,4,6,16950.0
japanese,Red,Used,Sedan,Unknown,Automatic,513,Available,other,4,14,1190.0
german,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,69000,None,Toronto,6,7,53988.0
german,Black,Used,Sedan,All-wheel drive (AWD),Automatic,114208,Available,Toronto,6,8,21800.0
german,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,147168,Available,Toronto,6,8,20500.0
japanese,Blue,Used,Sedan,Unknown,Automatic,140373,Available,other,4,12,4995.0
german,White,Used,Sedan,Front-wheel drive (FWD),Manual,67069,Available,Toronto,4,5,9500.0
german,Black,Used,Sedan,All-wheel drive (AWD),Automatic,78690,Available,Toronto,6,6,32800.0
korean,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,103000,Available,Toronto,4,3,14850.0
german,Black,Used,Sedan,All-wheel drive (AWD),Automatic,150000,None,Toronto,8,12,19000.0
german,White,Used,Sedan,Front-wheel drive (FWD),Automatic,126000,Available,Toronto,4,5,15950.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,106501,Available,other_GTA,4,5,17500.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,85000,Available,Toronto,4,5,13980.0
japanese,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,140000,Available,Toronto,6,8,20950.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Manual,67800,Available,Toronto,4,6,10400.0
german,Grey,Used,Sedan,All-wheel drive (AWD),Automatic,74000,Available,Toronto,4,5,23799.0
american,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,74496,Available,other_GTA,6,5,23495.0
german,White,Used,Sedan,Front-wheel drive (FWD),Automatic,57080,Available,Toronto,6,6,23800.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,26188,Available,Toronto,6,4,36388.0
german,Black,Used,Sedan,All-wheel drive (AWD),Automatic,66000,Available,Toronto,4,6,24950.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,96000,Available,Toronto,4,5,16450.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,40250,Available,other,4,3,34950.0
american,Black,Used,Sedan,All-wheel drive (AWD),Automatic,52745,Available,other,6,3,24677.0
japanese,Blue,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,37245,Available,Toronto,6,3,46995.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,58000,Available,Toronto,4,3,14999.0
american,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,124506,Available,other,4,7,13495.0
german,Blue,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,51628,Available,Toronto,4,5,14990.0
german,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,129000,Available,Toronto,6,9,17988.0
german,Red,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,86758,Available,other_GTA,4,6,22999.0
american,Grey,Used,"SUV, Crossover",Unknown,Automatic,116000,None,Toronto,6,6,17950.0
german,other,Used,Sedan,All-wheel drive (AWD),Automatic,30623,Available,other,4,7,19285.0
german,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,144411,Available,Toronto,4,6,29800.0
german,Grey,Used,Convertible,Rear-wheel drive (RWD),Automatic,121000,Available,Toronto,6,13,9995.0
italian,Black,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,88718,Available,Toronto,4,10,46800.0
japanese,Black,Used,Pickup Truck,4 x 4,Automatic,15700,Available,other,6,2,31990.0
german,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,107025,Available,Toronto,4,4,13250.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,24730,Available,Toronto,4,3,21588.0
german,White,Used,Sedan,Front-wheel drive (FWD),Manual,59996,Available,Toronto,4,5,12500.0
american,Black,Used,"SUV, Crossover",4 x 4,Automatic,12861,Available,Toronto,6,2,50907.0
korean,Blue,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,197700,Available,Toronto,4,9,3250.0
